Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Eswatini",4712.536,4827.286,4894.5205,4976.905,5136.7246,5377.5576,5559.47,5867.2334,6187.766,6467.8203,6791.392,7011.095,7192.752,7389,7552,7805,7927,7969,7993.1494,8092.3403,8219.499,8375.426,8167.6895,8725.725,8522.45
"Ethiopia",786.279,761.90326,771.7315,783.89636,793.9149,764.52826,771.4652,829.2432,880.6544,936.3743,989.9804,1043.5319,1106.383,1199,1291.7769,1385.158,1488.9333,1601.2638,1722.3092,1840.3696,1936.8275,2030.6775,2121.8591,2190.6753,2289.409
"Finland",29715.342,30986.889,32689.77,33481.68,33986.555,34607.22,35888.613,36787.258,38160.703,39998.523,40129.652,36662.613,37615.113,38432,37715.01,37203.145,36907.92,36986.7,37924.152,39043.19,39430.906,39874.8,38871.703,39977.855,40701.465
"Former Sudan",1785.0996,1837.498,1951.4658,2075.622,2205.5723,2373.057,2461.3003,2642.5208,2903.8008,3233.6978,3478.8877,3580.1877,3707.3027,3669,2982.5593,2973.4575,3031.0374,3087.5115,3139.7502,3068.7512,2908.529,2757.3862,2586.8955,2532.7058,2405.275
"France",31323.078,32284.611,33409.68,33920.098,34152.773,34292.03,35093.824,35495.465,36166.16,36845.684,36761.793,35534.926,36086.727,36691,36625.926,36647.22,36818.54,37077.89,37343.84,38037.336,38555.465,39084.656,35913.82,38242.133,39065.71
"Gabon",11758.16,10648.09,10637.8,11104.553,11141.463,11665.832,12022.507,12437.96,12342.779,13455.612,13330.255,13617.896,14926.699,16403,16682.309,16964.445,17098.143,17180,16995.238,16576.176,16253.897,16449.715,15745.749,15597.771,15720.901
"Gambia",1324.9244,1385.6318,1440.8619,1495.0918,1473.4006,1478.9562,1585.7992,1541.6116,1530.6844,1557.8474,1618.4445,1692.6423,1772.7268,1669,1725,1767,1743,1786,1770.3645,1805.8812,1886.0532,1952.326,1914.1969,1964.4937,2010.5322
"Georgia",4619.905,4763.3506,4891.664,5125.1274,5406.953,6013.0093,6342.708,6849.789,7398.0527,8300.144,8461.917,8062.084,8443.437,8946,9497.121,9856.679,10307.604,10629.594,10945.466,11479.426,12035.715,12631.664,11770.782,12994.772,14360.359
"Germany",31129.584,32087.604,33367.285,34260.29,34590.93,34716.44,35528.715,36205.574,38014.137,39752.207,40715.434,38962.938,41109.582,43189,43288.32,43359.137,44132.758,44405.168,45030.47,46065.1,46377.39,46761.945,44996.43,46159.05,46647.793
"Ghana",2017.9895,2066.7412,2100.293,2143.1062,2192.0203,2256.8174,2329.5156,2411.2876,2503.9578,2553.1658,2725.7883,2793.8708,2946.0393,3283,3467.1042,3621.6008,3627.8384,3610.646,3640.779,3841.8796,3983.1216,4143.3774,4069.252,4190.578,4242.4106
"Greece",19378.709,20076.559,20965.332,21913.797,22893.959,24380.066,25780.385,26091.523,27731.111,28822.916,28907.926,27839.898,26517.465,24349,22746.207,22335.27,22591.598,22696.203,22679.81,22972.889,23403.611,23869.793,21767.22,23732.201,25283.906
"Guatemala",5730.646,5824.8833,5860.272,5882.7197,5980.242,6004.1445,6070.1943,6130.4824,6305.8184,6545.7524,6604.6826,6488.646,6526.4575,6650,6718.332,6813.4116,6978.106,7126.9927,7186.66,7279.7397,7399.198,7565.846,7309.368,7764.6963,7969.431
"Guinea",1010.79193,1031.3826,1046.567,1090.652,1148.5447,1146.3353,1159.8251,1186.6047,1188.4846,1253.4077,1290.4037,1255.2418,1291.6963,1347,1397,1421,1399,1364,1472.953,1583.5482,1642.1047,1690.8837,1726.5083,1769.8623,1809.2666
"Guinea-Bissau",1130.8127,1256.0825,1230.6406,1233.072,1196.2325,1181.9435,1194.6708,1226.5609,1233.8132,1252.574,1270.7228,1292.0293,1329.3724,1413,1361,1378,1355,1393,1443.4241,1492.0392,1511.8668,1543.4176,1531.3096,1593.8186,1625.3876
"Haiti",1480.5769,1513.3318,1520.7292,1501.1024,1494.1837,1495.8921,1439.2076,1461.8,1493.0382,1541.7675,1555.4932,1604.1127,1556.5504,1648,1674,1722,1749,1742,1748.7269,1767.923,1773.1095,1719.4462,1641.7617,1591.76,1546.4222
"Honduras",3332.9067,3215.1848,3335.7153,3365.233,3431.2512,3527.1218,3686.6667,3851.0554,4045.2976,4237.302,4358.763,4200.1606,4305.892,4421,4518,4561,4620,4706,4803.2803,4949.0254,5052.2056,5099.8145,4567.8857,5062.1187,5186.5303
"Hong Kong",30866.428,31134.166,32894.01,32734.201,33038.15,33594.316,36052.992,38191.9,40172.855,42230.887,42635.48,41076.234,43170.55,44532,44795.11,45997.89,46941.586,47653.695,48385.113,49841.457,50847.723,49631.062,46550.258,50006.348,48289.383
"Hungary",11663.028,12316.724,13129.273,13933.562,14899.307,15829.9,16999.006,18140.617,19253.062,19763.791,20380.63,19461.07,20036.334,20886,20731.67,21163.564,22118.75,22993.375,23568.926,24641.197,25995.51,27272.312,26091.4,28085.963,29451.855
"Iceland",31444.615,32186.932,33108.29,33794.453,33470.496,33920.707,36209.242,37884.06,38707.215,41111.156,40810.23,37701.85,36272.688,36740,36933.895,38245.496,38463.027,39756.527,41682.867,42419.383,43321.062,43136.605,39368.4,40412.617,42145.594
"India",2611.7815,2707.7407,2753.0854,2837.8555,2870.9236,3035.9226,3212.511,3396.6487,3629.4111,3870.699,4030.6543,4270.708,4525.7456,4768,4982.083,5224.1445,5524.1147,5869.8467,6326.0645,6638.7275,7046.4365,7293.9897,6730.547,7315.1216,7765.593
"Indonesia",5203.5796,5186.7134,5384.3867,5526.1475,5720.2817,5938.878,6180.91,6482.012,6782.6245,7157.313,7633.166,7935.844,8386.434,8849,9272.009,9676.147,10050.717,10432.305,10849.67,11292.259,11768.468,12250.278,11895.075,12233.969,12801.671
"Iran",8458.387,8714.627,9104.763,9620.627,10467.371,11502.853,12404.323,13110.143,14185.753,15467.107,15739.983,16575.07,17751.33,18024,17556.533,16842.896,17449.938,16922.88,17738.059,18416.479,18154.533,17400.414,17296.264,18052.37,18473.066
"Iraq",2794.7864,3157.1125,3649.493,4147.6484,4631.6523,3782.4526,6061.5547,6441.41,7117.6133,7587.6055,8587.265,9268.709,10274.33,11484,12521.541,12877.205,12559.504,12574.508,14173.763,13403.638,13724.742,14203.617,11717.375,12355.587,13071.94
"Ireland",31908.648,35377.164,38806.5,40966.332,43012.816,44372.758,47028.863,49223.383,51296.195,52322.23,49583.14,47375.734,48623.81,48980,47360.09,48181.234,50732.348,53196.598,53686.844,55465.652,58083.45,59733.91,55134.855,57278.42,60257.082
"Israel",24506.16,24644.205,26058.84,25427.32,24823.553,24545.244,25210.879,25686.406,26571.256,27624.883,27857.62,27644.697,28575.531,29370,29580.836,30316.602,30906.148,31050.408,31822.875,32549.818,33227.125,33951.89,32730.943,34969.016,36648.918
"Italy",30649.629,31340.48,32716.98,33511.434,33780.055,33917.8,34472.13,34872.125,35713.805,36310.734,35942.938,34055.227,34765.938,35151,34010.035,33317.242,33310.703,33620.742,34120.42,34754.77,35149.824,35407.242,32385.326,34827.137,36224.293
"Jamaica",6432.653,6485.3228,6531.2847,6615.193,6660.763,6908.667,7004.9844,7073.7705,7286.967,7402.178,7353.107,7115.373,7025.93,7141,7119.5054,7147.5337,7198.43,7268.231,7381.3325,7433.147,7569.063,7641.0815,6880.4883,7193.1064,7481.6685
