Name,Water,Energ (kcal),Protein,Lipid,Ash,Carbohydrt,Sugar,Calcium,Iron,Magnesium,Sodium,Zinc,Copper,Vit_C,Vit_B6,Cholestrl
APPLE JUC.FRZ CONC.UNSWTND.UNDIL.WO/ VIT C,57,166,0.51,0.37,1.12,41,38.83,20,0.91,17,25,0.13,0.05,2.1,0.116,0
APPLEBEE'S.9 OZ HOUSE SIRLOIN STEAK,64.11,176,25.63,8.19,2.35,0,0,17,2.03,22,549,4.93,0.061,0,0.342,67
APPLEBEE'S.CHICK FINGERS.FROM KIDS' MENU,48.89,265,19.06,14.03,2.37,15.64,0.52,15,1.23,28,555,0.67,0.064,0,0.273,43
APPLEBEE'S.DOUBLE CRUNCH SHRIMP,40.46,323,14.18,19,2.45,23.92,1.01,29,0.81,21,714,0.87,0.155,0,0.058,86
APPLEBEE'S.FRENCH FR,43.28,284,3.39,13.37,2.55,37.41,0.25,21,0.84,30,521,0.49,0.142,0,0.225,1
APPLEBEE'S.KRAFT.MACARONI & CHS.FROM KID'S MENU,65.09,165,7.04,6.32,1.67,19.88,2.99,123,0.82,23,380,0.85,0.078,0,0.035,13
APPLEBEE'S.MOZZARELLA STKS,39.49,320,15.01,18.24,3.33,23.93,2.77,328,0.49,20,793,2,0.066,0,0.038,31
APPLES.CND.SWTND.SLICED.DRND.HTD,82.28,67,0.18,0.43,0.27,16.84,14.84,4,0.24,3,3,0.05,0.051,0.2,0.044,0
APPLES.CND.SWTND.SLICED.DRND.UNHTD,82.36,67,0.18,0.49,0.27,16.7,15,4,0.23,2,3,0.03,0.053,0.4,0.044,0
APPLES.DEHYD (LO MOIST).SULFURED.STWD,79.36,74,0.28,0.12,0.33,19.91,0,4,0.43,5,26,0.06,0.058,0.6,0.054,0
APPLES.DEHYD (LO MOIST).SULFURED.UNCKD,3,346,1.32,0.58,1.57,93.53,81.13,19,2,22,124,0.29,0.271,2.2,0.28,0
APPLES.DRIED.SULFURED.STWD.W/ SUGAR,78.76,83,0.2,0.07,0.24,20.73,0,3,0.31,3,19,0.04,0.042,0.9,0.047,0
APPLES.DRIED.SULFURED.STWD.WO/ SUGAR,84.13,57,0.22,0.07,0.26,15.32,13.32,3,0.33,4,20,0.05,0.044,1,0.05,0
APPLES.DRIED.SULFURED.UNCKD,31.76,243,0.93,0.32,1.1,65.89,57.19,14,1.4,16,87,0.2,0.191,3.9,0.125,0
APPLES.FRZ.UNSWTND.HTD,87.16,47,0.29,0.33,0.23,12,0,5,0.19,3,3,0.05,0.065,0.4,0.032,0
APPLES.FRZ.UNSWTND.UNHTD,86.85,48,0.28,0.32,0.24,12.31,0,4,0.18,3,3,0.05,0.058,0.1,0.034,0
APPLES.RAW.WITH SKIN,85.56,52,0.26,0.17,0.19,13.81,10.39,6,0.12,5,1,0.04,0.027,4.6,0.041,0
APPLES.RAW.WITHOUT SKIN,86.67,48,0.27,0.13,0.17,12.76,10.1,5,0.07,4,0,0.05,0.031,4,0.037,0
APPLES.RAW.WO/ SKN.CKD.MICROWAVE,84.63,56,0.28,0.42,0.26,14.41,11.61,5,0.17,3,1,0.04,0.046,0.3,0.046,0
APPLES.RAW.WO/SKN.CKD.BLD,85.47,53,0.26,0.36,0.28,13.64,11.01,5,0.19,3,1,0.04,0.035,0.2,0.044,0
APPLESAUCE.CND.SWTND.W/SALT,79.58,76,0.18,0.18,0.14,19.91,0,4,0.35,3,28,0.04,0.043,1.7,0.026,0
APPLESAUCE.CND.SWTND.WO/ SALT (INCLUDES USDA COMMODITY),81.98,68,0.16,0.17,0.21,17.49,14.67,3,0.12,3,2,0.03,0.032,1.7,0.027,0
APPLESAUCE.CND.UNSWTND.W/ VIT C,88.22,42,0.17,0.1,0.24,11.27,9.39,4,0.23,3,2,0.03,0.027,21.2,0.027,0
APPLESAUCE.CND.UNSWTND.WO/ADDED VIT C (INCLUDES USDA COMMOD),88.22,42,0.17,0.1,0.24,11.27,9.39,4,0.23,3,2,0.03,0.027,1,0.027,0
APRICOT NECTAR.CND.W/ VIT C,84.87,56,0.37,0.09,0.29,14.39,0,7,0.38,5,3,0.09,0.073,54.4,0.022,0
APRICOT NECTAR.CND.WO/ VIT C,84.87,56,0.37,0.09,0.29,14.39,13.79,7,0.38,5,3,0.09,0.073,0.6,0.022,0
APRICOTS.CND.EX HVY SYRUP PK.WO/SKN.SOL&LIQUIDS,74.33,96,0.55,0.04,0.23,24.85,0,8,0.62,8,13,0.1,0.064,2.4,0.054,0
APRICOTS.CND.EX LT SYRUP PK.W/SKN.SOL&LIQUIDS,86.3,49,0.6,0.1,0.5,12.5,0,10,0.3,6,2,0.08,0.04,4,0.054,0
APRICOTS.CND.H2O PK.W/SKN.SOL&LIQUIDS,92.36,27,0.71,0.16,0.38,6.39,4.79,8,0.32,7,3,0.11,0.082,3.4,0.054,0
APRICOTS.CND.H2O PK.WO/SKN.SOL&LIQUIDS,93.43,22,0.69,0.03,0.38,5.48,0,8,0.54,9,11,0.11,0.068,1.8,0.054,0
APRICOTS.CND.HVY SYRUP PK.W/SKN.SOL&LIQUIDS,77.56,83,0.53,0.08,0.37,21.47,19.87,9,0.3,7,4,0.11,0.078,3.1,0.054,0
APRICOTS.CND.HVY SYRUP PK.WO/SKN.SOL&LIQUIDS,77.66,83,0.51,0.09,0.29,21.45,0,9,0.43,8,11,0.1,0.065,2.8,0.054,0
APRICOTS.CND.HVY SYRUP.DRND,77.56,83,0.64,0.11,0.38,21.31,18.65,10,0.3,7,4,0.11,0.097,3.1,0.055,0
APRICOTS.CND.JUC PK.W/SKN.SOL&LIQUIDS,86.62,48,0.63,0.04,0.37,12.34,10.74,12,0.3,10,4,0.11,0.054,4.9,0.054,0
APRICOTS.CND.LT SYRUP PK.W/SKN.SOL&LIQUIDS,82.56,63,0.53,0.05,0.37,16.49,14.89,11,0.39,8,4,0.11,0.079,2.7,0.054,0
APRICOTS.DEHYD (LOW-MOISTURE).SULFURED.STWD,63.6,126,1.93,0.24,1.61,32.62,0,24,2.48,25,5,0.39,0.227,7.1,0.161,0
APRICOTS.DEHYD (LOW-MOISTURE).SULFURED.UNCKD,7.5,320,4.9,0.62,4.09,82.89,0,61,6.31,63,13,1,0.576,9.5,0.52,0
APRICOTS.DRIED.SULFURED.STWD.W/ SUGAR,68.45,113,1.17,0.15,0.98,29.26,0,15,1.52,15,3,0.24,0.138,1.4,0.103,0
APRICOTS.DRIED.SULFURED.STWD.WO/ SUGAR,75.56,85,1.2,0.18,0.91,22.15,19.57,19,0.94,11,4,0.14,0.121,0.3,0.051,0
APRICOTS.DRIED.SULFURED.UNCKD,30.89,241,3.39,0.51,2.57,62.64,53.44,55,2.66,32,10,0.39,0.343,1,0.143,0
APRICOTS.FROZEN.SWEETENED,73.3,98,0.7,0.1,0.8,25.1,0,10,0.9,9,4,0.1,0.064,9,0.06,0
APRICOTS.RAW,86.35,48,1.4,0.39,0.75,11.12,9.24,13,0.39,10,1,0.2,0.078,10,0.054,0
ARCHWAY Home Style Cookies. Apple Filled Oatmeal,14.99,393,4.47,11.78,1.55,67.21,32.38,32,2.38,0,331,0,0,0,0,6
ARCHWAY Home Style Cookies. Apricot Filled,14.99,400,4.52,13.17,1.46,65.86,30.06,20,2.36,0,318,0,0,0,0,6
ARCHWAY Home Style Cookies. Cherry Filled,15.01,405,4.62,14.12,1.5,64.75,31.31,25,2.29,0,347,0,0,0,0,21
ARCHWAY Home Style Cookies. Chocolate Chip Drop,15.81,407,3.95,15.33,1.64,63.28,28.97,14,2.18,0,393,0,0,0,0,12
ARCHWAY Home Style Cookies. Chocolate Chip Ice Box,5.01,497,4.28,24.4,1.28,65.02,34.06,14,2.63,0,270,0,0,0,0,13
ARCHWAY Home Style Cookies. Coconut Macaroon,11.5,460,3.02,22.55,1.71,61.23,45.16,5,0.82,0,241,0,0,0,0,0
ARCHWAY Home Style Cookies. Cookies Jar Hermits,11.82,390,5.28,9.77,2.8,70.33,34.53,58,2.79,0,657,0,0,0,0,10
ARCHWAY Home Style Cookies. Dark Molasses,9.93,407,4.16,12.59,3.95,69.38,35.05,44,4.54,0,555,0,0,0,0,0
ARCHWAY Home Style Cookies. Date Filled Oatmeal,13.49,400,4.67,12.05,1.62,68.16,34.27,28,2.26,0,331,0,0,0,0,6
ARCHWAY Home Style Cookies. Dutch Cocoa,9.32,431,4.5,14.99,1.75,69.44,35.35,13,3.36,0,384,0,0,0,0,7
ARCHWAY Home Style Cookies. Fat Free Oatmeal Raisin,12.1,348,4.12,1.51,2.71,79.56,47.07,32,2.47,0,576,0,0,0,0,44
ARCHWAY Home Style Cookies. Fruit & Honey Bar,11.79,408,4.44,12.54,1.82,69.42,37.51,23,2.18,0,413,0,0,0,0,17
ARCHWAY Home Style Cookies. Gourmet Apple'n Raisin,9.51,435,5.1,16.64,2.41,66.33,33.97,34,2.5,0,527,0,0,0,0,7
ARCHWAY Home Style Cookies. Gourmet Oatmeal Pecan,9.28,472,5.42,23.13,1.69,60.48,27.71,25,2.14,0,345,0,0,0,0,8
ARCHWAY Home Style Cookies. Gourmet Rocky Road,8.02,461,4.86,19.71,1.46,65.94,34.92,18,2.93,0,283,0,0,0,0,10
ARCHWAY Home Style Cookies. Gourmet Ruth's Golden Oatmeal,10.9,431,5.67,16.44,2.01,64.97,33.74,36,2.3,0,391,0,0,0,0,8
ARCHWAY Home Style Cookies. Iced Molasses,10.34,420,3.5,14.43,2.61,69.12,38.43,24,4.1,0,527,0,0,0,0,12
ARCHWAY Home Style Cookies. Iced Oatmeal,9.99,435,4.89,16.53,1.84,66.76,37.2,32,2.19,0,377,0,0,0,0,8
ARCHWAY Home Style Cookies. Molasses,11.43,403,4.25,12.06,2.85,69.41,36.35,29,4.68,0,577,0,0,0,0,25
ARCHWAY Home Style Cookies. Oatmeal,10.28,421,5.48,14.08,2,68.17,34.5,35,2.45,0,394,0,0,0,0,10
ARCHWAY Home Style Cookies. Oatmeal Raisin,11.53,406,5.17,12.08,1.95,69.27,39.55,38,2.4,0,339,0,0,0,0,8
ARCHWAY Home Style Cookies. Old Fashioned Molasses,10.41,406,4.27,11.83,2.94,70.55,36.09,32,4.99,0,561,0,0,0,0,25
ARCHWAY Home Style Cookies. Old Fashioned Windmill Cookies,3,468,5.17,17.55,2.05,72.23,32.64,36,3.06,0,471,0,0,0,0,1
ARCHWAY Home Style Cookies. Pecan Ice Box,6.71,500,4.56,26.46,1.25,61.02,28.23,11,2.15,0,317,0,0,0,0,31
ARCHWAY Home Style Cookies. Reduced Fat Ginger Snaps,5.22,424,4.67,11.14,2.75,76.23,36.28,62,12.57,0,406,0,0,0,0,1
ARCHWAY Home Style Cookies. Soft Sugar Drop,16.39,397,4.82,13.87,1.67,63.26,30.79,39,1.97,0,398,0,0,0,0,41
ARCHWAY Home Style Cookies. Strawberry Filled,14.99,400,4.35,13.26,1.48,65.92,31.76,20,2.32,0,334,0,0,0,0,6
ARCHWAY Home Style Cookies. Sugar,10.62,411,4.88,12.8,2.68,69.02,0,25,2.46,0,640,0,0,0,0,16
